date,j2exam1125,j2exam1125,j2exam1125
23,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void){

  int *array;
  int len;

  srand((unsigned)time(NULL));

  printf(""type length\n"");
  scanf(""%d"",&len);

  array = (int *)malloc(sizeof(int) * len);

  for(int i=0; i<len; i++){
    array[i] = rand()%100;
  }

  printf(""(1)\n"");
  for(int i=0; i<len; i++){
    printf(""array[%d] = %3d\n"",i,array[i] );
  }

  printf(""(2)\n"");
  for(int i=len-1; i>=0; i--){
    printf(""array[%d] = %3d\n"",i,array[i] );
  }

  printf(""(3)\n"");
  for(int i=0; i<len; i++){
    if(array[i]%2 == 0)printf(""array[%d] = %3d\n"",i,array[i] );
  }

  return 0;
}
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>

void printmatrix(int **numberbox,int n){
  for(int j=0; j<n; j++){
    for(int i=0;i < n; i++){
      printf(""%d "",numberbox[j][i]);
    }
    printf(""\n"");
  }
}

int main(void){

  srand((unsigned)time(NULL));

  int **numberbox;
  int n = 3;
  int cul = 0;

  printf(""n = %d\n"",n);

    numberbox = (int **)malloc(sizeof(int) * n);
    for(int i=0; i<n; i++){
    numberbox[i] = (int *)malloc(sizeof(int) * n);
    }



    for(int j=0; j<n; j++){
      for(int i=0;i < n; i++){
        numberbox[j][i] = rand()%10;
        if(i == j)cul += numberbox[j][i];
      }
    }

    printf(""(1)\n"");
    printmatrix(numberbox, n);


    printf(""(2)\n"");
    printf(""cul = %3d\n"",cul);


    int tempb,tempa;
    int tempn = n;
    int tempn2=0;
    for(int j=0; j<n; j++){
      for(int i=0;i < tempn; i++){
        tempb = numberbox[j][i+tempn2];
        tempa = numberbox[i+tempn2][j];
        numberbox[j][i+tempn2] = tempa;
        numberbox[i+tempn2][j] = tempb;
      }
      tempn--;
      tempn2++;
    }



    printf(""(3)\n"");
    printmatrix(numberbox, n);





  free(numberbox);
  return 0;
}
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void){

  char str1[] = ""Kisarazu"";
  char str2[] = ""Kosen"";

  int numstr1 = 0;
  int numstr2 = 0;

  char *str3;

  int i=0;
  while(str1[i]!='\0'){
    numstr1++;
    i++;
  }

  i=0;
  while(str2[i]!='\0'){
    numstr2++;
    i++;
  }

  

  int len = numstr1+numstr2;

  str3 = (char *)malloc(sizeof(char) * len);

  for(int i=0; i<numstr1; i++){
    str3[i] = str1[i];
  }

  for(int i=numstr1; i<numstr1+numstr2; i++){
    str3[i] = str2[i-numstr1];
  }

  printf(""str3= ''%s''\n"",str3);

  free(str3);

  return 0;
}
"
24,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void){
  int n,i;
  int *arr;
  srand((unsigned)time(NULL));
  
  printf(""Hou many?\n"");
  scanf(""%d"",&n);
  arr=(int *)malloc(sizeof(int)*n);

  printf(""(1)\n"");
  for(i=0;i<n;i++){
    arr[i]=rand();
    arr[i]%=100;
    printf(""%2d  %d\n"",i,arr[i]);
  }
  printf(""\n"");

  printf(""(2)\n"");
  for(i=n-1;i>=0;i--){
    printf(""%2d %d\n"",i,arr[i]);
  }

  printf(""(3)\n"");
  for(i=0;i<n;i++){
    if(i%2==0){
      printf(""%2d %d\n"",i,arr[i]);
    }
  }
  free(arr);
  return 0;
}
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void){
  int n,i,j,sum;
  int **arr;
  int **tmp;
  srand((unsigned)time(NULL));

  printf(""How many?\n"");
  scanf(""%d"",&n);

  printf(""(1)\n"");
  arr=(int **)malloc(sizeof(int)*n);
  for(i=0;i<n;i++){
    arr[i]=(int *)malloc(sizeof(int)*n);
    for(j=0;j<n;j++){
      arr[i][j]=rand();
      arr[i][j]%=10;
      printf(""%d "",arr[i][j]);
    }
    printf(""\n"");
  }

  printf(""(2)\n"");
  for(i=0;i<n;i++){
    sum+=arr[i][i];
  }
  printf(""%d\n"",sum);

  printf(""(3)\n"");
  tmp=(int **)malloc(sizeof(int)*n);
  for(i=0;i<n;i++){
    tmp[i]=(int *)malloc(sizeof(int)*n);
    for(j=i;j<n;j++){
      tmp[i][j]=arr[i][j];
      arr[i][j]=arr[j][i];
      arr[j][i]=tmp[i][j];
    }
  }
  for(i=0;i<n;i++){
    for(j=0;j<n;j++){
      printf(""%d "",arr[i][j]);
    }
    printf(""\n"");
  }
  free(arr);
  return 0;
}
","#include<stdio.h>
#include<stdlib.h>

int main(void){
  char str1[]=""Kisarazu"";
  char str2[]=""City"";
  int i,sen[2],sent,flag;
  char *arr;

  for(i=0;i!='\0';i++){
  }
  sen[0]+=i;
  for(i=0;i!='\0';i++){
  }
  sen[1]+=i;
  for(i=0;i<2;i++){
    sent+=sen[i];
  }

  flag=0;
  arr=(char *)malloc(sizeof(char)*(sent+1));
  for(i=0;i<sent;i++){
    if(str1[i]=='\0'&&flag==0){
      flag=1;
    }
    if(flag==0){
      arr[i]=str1[i];
    }
    if(flag==1){
      arr[i]=str2[(i-sen[0])];
    }
    printf(""%c"",arr[i]);
  }
  printf(""\n"");
  return 0;
}
"
25,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void)
{
  int *pt;
  int i;
  int NUM;
  int gyaku;
  int guusuu;
  scanf(""%d"",&NUM);
  srand((unsigned)time(NULL));

  pt= (int* )malloc(sizeof(int)*NUM);

  printf(""(1)\n"");
  for(i=0;i<NUM;i++){
    pt[i]=rand()%100;
    printf(""pt[%d]=%d\n"",i,pt[i]);
  }


  printf(""(2)\n"");
  for(i=0;i<NUM;i++){
    gyaku=pt[NUM-i-1];
    printf(""gyaku=%d\n"",gyaku);
  }

  printf(""(3)\n"");
  for(i=0;i<NUM;i++){
    if(pt[i]%2==0){
      guusuu=pt[i];
      printf(""guusuu=%d\n"",guusuu);
    }
  }
  
  free(pt);

  return 0;
}
",,
26,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

void rand_num(int *array,int num);
void reverse_array(int *array, int num);
void disp_guusuu(int *array, int num);

int main(void){
  int *array;
  int num;

  printf(""(1)\n"");
  printf(""input the num : "");
  scanf(""%d"",&num);

  array = (int *)malloc(sizeof(int) * num);

  rand_num(array,num);

  printf(""(2)\n"");
  reverse_array(array,num);
  
  printf(""(3)\n"");
  disp_guusuu(array,num);

  free(array);
  
  return 0;
}

void rand_num(int *array,int num){
    srand((unsigned)time(NULL));
  
  for(int i = 0;i < num;i++){
    array[i] = rand() % 100;
    printf(""array[%d] : %d\n"",i,array[i]);
  }
}

void reverse_array(int *array, int num){
  for(int i = 0;i < num;i++){
    printf(""reverse[%d] : %d\n"",i,array[(num-1) - i]);
  }
}

void disp_guusuu(int *array, int num){
  printf(""guusuu : \n"");
  for(int i = 0;i < num;i++){
    if(array[i] % 2 == 0){
       printf(""array[%d] : %d\n"",i,array[i]);
    }
  }
}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

void rand_num(int **array, int n);
void sum_taikaku(int **array, int n);
void tenchi_gyouretu(int **array,int **copy,int n);

int main(void){
  int **array;
  int **copy;
  int n;

  printf(""(1)\n"");
  printf(""enter the num : "");
  scanf(""%d"",&n);

  array = (int **)malloc(sizeof(int *) * n);
  for(int i = 0;i < n;i++){
    array[i] = (int *)malloc(sizeof(int) * n);
  }
  rand_num(array,n);
   /*--------------------------------------------------------*/
  
  printf(""(2)\n"");
  sum_taikaku(array, n);
  
  /*--------------------------------------------------------*/
  
  printf(""(3)\n"");
  copy = (int **)malloc(sizeof(int *) * n);
  for(int i = 0;i < n;i++){
    copy[i] = (int *)malloc(sizeof(int) * n);
  }

  tenchi_gyouretu(array,copy,n);

   /*--------------------------------------------------------*/
  
  for(int i = 0;i < n;i++){
    free(array[i]);
    free(copy[i]);
  }
  free(array);
  free(copy);

  return 0;
}

void rand_num(int **array, int n){
  srand((unsigned)time(NULL));
  
  for(int i = 0;i < n;i++){
    for(int j = 0;j < n;j++){
      array[i][j] = rand() % 10;
      printf(""%d "",array[i][j]);
    }
    printf(""\n"");
  }
}

void sum_taikaku(int **array, int n){
  int taikaku;
  
  for(int i = 0;i < n;i++){
    taikaku += array[i][i];
  }
  printf(""taikaku sum : %d\n"",taikaku);
}

void tenchi_gyouretu(int **array,int **copy,int n){
  printf(""tenchi gyouretu : \n"");
  for(int i = 0;i < n;i++){
    for(int j = 0;j < n;j++){
      copy[i][j] = array[j][i];
      array[j][i] = 0;
    }
  }
  for(int i = 0;i < n;i++){
    for(int j = 0;j < n;j++){
      array[i][j] = copy[i][j];
      printf(""%d "",array[i][j]);
    }
    printf(""\n"");
  }
}
","#include <stdio.h>
#include <stdlib.h>

int main(void){
  char *str1;
  char *str2;
  char *str;
  int num1;
  int num2;
  char dummy;

  printf(""input the str1 length : "");
  scanf(""%d"",&num1);
  scanf(""%c"",&dummy);
  
  str1 = (char *)malloc(sizeof(char) * (num1+1));

  printf(""input the letter : "");
  fgets(str1, num1+1, stdin);

  printf(""\ninput the str2 length : "");
  scanf(""%d"",&num2);
  scanf(""%c"",&dummy);
  
  str2 = (char *)malloc(sizeof(char) * (num2+1));
  
  printf(""input the letter : "");
  fgets(str2, num2+1, stdin);

  str = (char *)malloc(sizeof(char) * (num1+num2+1));
  for(int i = 0;i < )

  printf(""\nAll str : %s\n"",str);

  free(str1);
  free(str2);
  
  return 0;
}
"
27,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main (void){
  int *pt;
  int i,size;

  srand((unsigned)time(NULL));
  printf(""input number : "");
  scanf(""%d"",&size);

  pt=(int *)malloc(sizeof(int)*size);

  printf(""(1)\n"");
  for(i=0;i<size;i++){
    
    pt[i]=rand()%100;
    printf(""pt[%d]=%d\n"",i,pt[i]);
    
  }

  printf(""(2)\n"");
  for(i=size-1;i>=0;i--){

    printf(""pt[%d]=%d\n"",i,pt[i]);

  }

  printf(""(3)\n"");
  for(i=0;i<size;i++){

    if(pt[i]%2==0){

      printf(""pt[%d]=%d\n"",i,pt[i]);

    }
  }
    
  free(pt);
  return 0;
}
  
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(void){
  int **pt;
  int sum,i,j,t,size;
  srand((unsigned)time(NULL));
  
  printf(""n = "");
  scanf(""%d"",&size);

  pt=(int **)malloc(sizeof(int *)*size);

  for(i=0;i<size;i++){
    pt[i]=(int *)malloc(sizeof(int)*size);
  }

  printf(""(1)\n"");
  for(i=0;i<size;i++){
    for(j=0;j<size;j++){
      pt[i][j]=rand()%10;
      printf(""%d "",pt[i][j]);
    }
    printf(""\n"");
  }
  sum=0;
  
  printf(""(2)\n"");
  for(i=0;i<size;i++){
    j=i;  
    sum=sum+pt[i][j];
  }
  printf(""%d\n"",sum);
  i=j=0;
  
  printf(""(3)\n"");
  for(i=0;i<size;i++){
    for(j=i+1;j<size;j++){
      t=pt[i][j];
      pt[i][j]=pt[j][i];
      pt[j][i]=t;
    }
  }

  for(i=0;i<size;i++){
    for(j=0;j<size;j++){
      printf(""%d "",pt[i][j]);
    }
    printf(""\n"");
  }
  
  for(i=0;i<size;i++){
    free(pt[i]);
  }
  free(pt);

  return 0;
}
","#include<stdio.h>
#include<stdlib.h>

int main(void){
  char *str1=""kisarazu"";
  char *str2=""City"";
  char **mix;
  int num1,num2,i,j;
  num1=num2=i=j=0;
  while(str1[num1]!='\0'){
    num1++;
  }
  
  while(str2[num2]!='\0'){
    num2++;
  }
  
  mix=(char **)malloc(sizeof(char *)*2);

  mix[0]=(char *)malloc(sizeof(char)*num1);
  mix[1]=(char *)malloc(sizeof(char)*num2);
   


  printf(""%s"",str1);
  printf(""%s\n"",str2);

  free(mix[0]);
  free(mix[1]);
  free(mix);
  return 0;
}
"
28,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(){
  int i;
  int ransu;
  int num;
  int *pt;
  int *ptr;



  printf(""確保したい配列の数は?="");
  scanf(""%d"",&num);
  
  
  pt=(int *)malloc(sizeof(int)*(num+1));
  ptr=(int *)malloc(sizeof(int)*(num+1));

  
  srand((unsigned)time(NULL));

  printf(""(1)\n"");
  for(i=0;i<num;i++){
    ransu=rand()%100;
   *(pt+i)=ransu;
   printf(""%d\n"",*(pt+i));
  }

  printf(""(2)\n"");
  for(i=0; i<num; i++){
    *(ptr+i)=*(pt+num-1-i);
  }
  for(i=0; i<num; i++){
    printf(""%d\n"",*(ptr+i));
  }

  printf(""(3)\n"");

  for(i=0;i<num;i++){
    if(*(pt+i)%2==0){
      printf(""%d\n"",*(pt+i));
    }
  }
 

 



  free(pt);
  free(ptr);

  return 0;
}
		   
		   
		   
		   
		   
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(){
   int **numberBox;
   int num;
   int i,c;
   int taikaku;
   
   printf(""何行何列の正方行列にしたい？="");
   scanf(""%d"",&num);

   srand((unsigned)time(NULL));
   
   numberBox = (int **)malloc(sizeof(int *) *(num+1) );
  for (i=0; i<num; i++) {
    numberBox[i] = (int *)malloc(sizeof(int) *(num+1));
  }
  
  for (i=0; i<num; i++) {
    for (c=0; c<num; c++) {
      numberBox[i][c] =rand()%10;
    }
  }

  printf(""(1)\n"");
  for (i=0; i<num; i++) {
    for (c=0; c<num; c++) {
      printf(""%d"",numberBox[i][c]);
      printf("" "");
    }
    printf(""\n"");
  }

  
  for (i=0; i<num; i++) {
    for (c=0; c<num; c++) {
      if(i==c){
	taikaku=taikaku+numberBox[i][c];
      }
    }
  }

  printf(""(2)\n"");
  printf(""行列Aの対角成分の和は=%d\n"",taikaku);
      

  
  
  for (i=0; i<num; i++) {
    free(numberBox[i]);
  }
  free(numberBox);

  return 0;
}
","#include<stdio.h>
#include<stdlib.h>


int main(){
  char str1[]=""Kisarazu"";
  char str2[]=""City"";
  int count;
  char *pt;

  while(str1[i]!=\0){
    count++;
  }
  while(str2[i]!=\0){
    count++;
  }

  pt=(char *)malloc(sizeof(char)*(count-1));
    


  pt=str1;
  pt[9]=str2;

  free(pt);


  
"
29,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(){

  printf(""(1)\n"");

  int in;
  printf(""input:"");
  scanf(""%d"",&in);

  int *array,*rev;
  srand((unsigned)time(NULL));

  array=(int*)malloc(sizeof(int)*in);
  rev=(int*)malloc(sizeof(int)*in);

  for(int i=0;i<in;i++){
    array[i]=rand()%100;
    printf(""array[%d]=%d\n"",i,array[i]);
  }

  printf(""(2)\n"");

  for(int i=0;i<in;i++){
    rev[i]=array[in-i-1];
    printf(""rev[%d]=%d\n"",i,rev[i]);
  }

  printf(""(3)\n"");

  for(int i=0;i<in;i++){
    if(array[i]%2==0) printf(""array[%d]=%d\n"",i,array[i]);
  }

  free(array);
  free(rev);

}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

void output(int **A,int n,char a[]){

  int len;
  for(len=0;a[len]!='\0';len++);

  for(int i=0;i<n;i++){

    if(i==n/2) printf(""%s="",a);
    else for(int j=0;j<=len;j++) printf("" "");

    if(i==0&&n>1) printf(""/"");
    else if(i==n-1&&n>1) printf(""\\"");
    else if(n==1) printf(""("");
    else printf(""|"");

    for(int j=0;j<n;j++) printf(""%d "",A[i][j]);

    if(i==0&&n>1) printf(""\\"");
    else if(i==n-1&&n>1) printf(""/"");
    else if(n==1) printf("")"");
    else printf(""|"");

    printf(""\n"");
  }
}

int main(){

  int **A;
  int *dum;
  int n;
  srand((unsigned)time(NULL));

  printf(""input n:"");
  scanf(""%d"",&n);

  printf(""(1)\n"");
  A=(int**)malloc(sizeof(int*)*n);
  for(int i=0;i<n;i++) A[i]=(int*)malloc(sizeof(int)*n);
  for(int i=0;i<n;i++) for(int j=0;j<n;j++) A[i][j]=rand()%10;
  output(A,n,""A"");

  printf(""(2)\n"");
  int sum=0;
  for(int i=0;i<n;i++) sum+=A[i][i];
  printf(""sum=%d\n"",sum);

  printf(""(3)\n"");
  dum=(int*)malloc(sizeof(int)*n);
  for(int i=0;i<n*2-1;i++){
    for(int j=0;j<=i;j++) if(j<n&&i-j<n) dum[j]=A[j][i-j];
    for(int j=0;j<=i;j++) if(j<n&&i-j<n) A[i-j][j]=dum[j];
  }
  output(A,n,""tA"");

  free(dum);
  for(int i=0;i<n;i++) free(A[i]);
  free(A);
}
","#include <stdio.h>
#include <stdlib.h>

int main(){

  char str1[]=""Kisarazu"";
  char str2[]=""City"";

  char *str;
  int len1,len2;

  for(len1=0;str1[len1]!='\0';len1++);
  for(len2=0;str2[len2]!='\0';len2++);
  printf(""len1=%d,len2=%d\n"",len1,len2);

  str=(char*)malloc(sizeof(char)*(len1+len2+1));

  for(int i=0;i<=len1+len2;i++){
    if(i<len1) str[i]=str1[i];
    else if(i<len1+len2) str[i]=str2[i-len1];
    else str[i]='\0';
  }
  printf(""str=%s\n"",str);

}
"
30,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int my_rand(int min,int max)
{
  return rand()%(max-min+1)+min;
}//my_rand(1,5)

int main(void)
{
  int num,i;
  int *list;
  srand((unsigned)time(NULL));
  printf(""num="");
  scanf(""%d"",&num);
  list=(int *)malloc(sizeof(int)*num);
  for(i=0;i<num;i++){
    list[i]=my_rand(0,99);
  }
  printf(""(1)\n"");
  for (i=0;i<num;i++){
    printf(""%d\n"",list[i]);
  }
  printf(""\n(2)\n"");
  for (i=num;0<i;i--){
    printf(""%d\n"",list[i-1]);
  }
  printf(""\n(3)\n"");
  for (i=0;i<num;i++){
    if(!(list[i]%2)){
      printf(""%d\n"",list[i]);
    }
  }

  free(list);
  return 0;//free check!!!
}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int my_rand(int min,int max)
{
  return rand()%(max-min+1)+min;
}//my_rand(1,5)

void disp(int **gyo,int n){
  int i,j;
  for (i=0;i<n;i++){
    for (j=0;j<n;j++){
      printf(""%d "",gyo[i][j]);
    }
    printf(""\n"");
  }
}

int taikakuwa(int **gyo,int n){
  int res=0;
  for (int i=0;i<n;i++){
    res=res+gyo[i][i];
  }
  return res;
}

void tenchi(int **gyo,int i,int j){
  int tmp;
  tmp=gyo[i][j];
  gyo[i][j]=gyo[j][i];
  gyo[j][i]=tmp;
}


int main(void)
{
  int n,i,j;
  int **gyo;
  //int *retsu;
  srand((unsigned)time(NULL));
  printf(""n="");
  scanf(""%d"",&n);
  gyo=(int **)malloc(sizeof(int *)*n);
  for(i=0;i<n;i++){
    gyo[i]=(int *)malloc(sizeof(int)*n);
    for (j=0;j<n;j++){
      gyo[i][j]=my_rand(0,9);
    }
  }
  printf(""(1)\n"");
  disp(gyo,n);
  printf(""\n(2)\n"");
  printf(""num=%d\n\n"",taikakuwa(gyo,n));
  printf(""(3)\n"");
  for (i=0;i<n;i++){
    for(j=0;j<n;j++){
      if(j>i){
	tenchi(gyo,i,j);
      }
    }
  }
  disp(gyo,n);
  for (i=0;i<n;i++){
    free(gyo[i]);
  }
  free(gyo);
  return 0;//free check!!!
}
","#include<stdio.h>
#include<stdlib.h>

int moji_len(char *str){
  int i=0;
  while(str[i]!='\0'){
    i++;
  }
  return i;
}
void ketsugo(char *res,char *str,int *c,int st_len){
  int i;
  for (i=0;i<st_len;i++){
    res[i+*c]=str[i];
  }
  *c=i;
}


int main(void){
  char str1[]=""Kisarazu"";
  char str2[]=""City"";
  char *res;
  int c=0;
  int len1=moji_len(str1);
  int len2=moji_len(str2);
  printf(""1:%d 2:%d \n"",len1,len2);
  res=(char *)malloc(sizeof(char)*(len1+len2)+1);
  res[len1+len2]='\0';
  ketsugo(res,str1,&c,len1);
  printf(""%d\n"",c);
  ketsugo(res,str2,&c,len2);
  printf(""%s\n"",res);
  free(res);
  return 0;//free!!!!
}
"
31,"#include<stdio.h>
#include<stdlib.h>
#include<time.h>

int main(){
  int *array;
  int i;
  int n;
  char dummy;

  srand((unsigned)time(NULL));
  printf(""num="");
  scanf(""%d"",&n);
  scanf(""%c"",&dummy);
  array=(int *)malloc(sizeof(int)*n);
  printf(""(1)\n"");
  for(i=0;i<n;i++){
    array[i]=rand()%100;
    printf(""%d\n"",array[i]);
  }
  printf(""\n(2)\n"");
  for(i=n-1;i>-1;i--){
    printf(""%d\n"",array[i]);
  }
  printf(""\n(3)\n"");
  for(i=0;i<n;i++){
    if(array[i]%2==0){
      printf(""%d\n"",array[i]);
    }
  }
  free(array);
  return 0;
}
","#include<stdio.h>
#include<stdlib.h>
#include<time.h>
int main(){
  int *array2;
  int n;
  char dummy;
  int i;
  int j;
  int total;

  srand((unsigned)time(NULL));
  printf(""n="");
  scanf(""%d"",&n);
  scanf(""%c"",&dummy);
  array2=(int *)malloc(sizeof(int)*n);
  array2=(int *)malloc(sizeof(int)*n);
  
  printf(""(1)\n"");
  for(i=0;i<n;i++){
    array2[i]=rand()%10;
    for(j=0;j<n;j++){
      array2[j]=rand()%10;
      printf(""%2d"",array2[i],array2[j]);
      //if(i=j){
      //total++;
      //}
    }
    printf(""\n"");
  }

  printf(""\n(2)\n"");
  printf(""sum=%d\n"",total);
  return 0;
}
  

  
",
32,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void) {
  int i;
  int large;
  int *space;
  int oddcheck;
  
  srand((unsigned)time(NULL));

  printf(""\n(1)\n"");
  printf(""Input the number: "");
  scanf(""%d"", &large);

  space = (int *)malloc(sizeof(int)*(large+1));

  *space = 0;
  for(i=0;i<large;i++) {
    space[i] = rand()%100;
    printf(""%d "", space[i]);
  }
  printf(""\n"");

  printf(""\n(2)\n"");
  
  for(i=0;i<large;i++) {
    printf(""%d "", space[large-i-1]);
  }
  printf(""\n"");

  printf(""\n(3)\n"");

  for(i=0;i<large;i++) {
    oddcheck = space[i] % 2;
    if(oddcheck == 0) {
      printf(""%d "", space[i]);
    }
  }
  printf(""\n"");
  
  free(space);
  return 0;
}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void) {
  int i, j;
  int large;
  int *space;

  srand((unsigned)time(NULL));

  printf(""\n(1)\n"");
  printf(""Input the number: "");
  scanf(""%d"", &large);

  space = (int *)malloc(sizeof(int)*(large*large+1));

  *space = 0;
  for(i=0;i<large;i++) {
    for(j=0;j<large;j++) {
      space[i][j] = rand()%100;
      printf(""%d "", space[i][j]);
    }
    printf(""\n"");
  }
  printf(""\n"");

  return 0;
}
",
33,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void){

  int a;
  int *num;
  int *another;

  printf(""num = "");
  scanf(""%d"",&a);
  num     = (int *)malloc(sizeof(int)*a);
  another = (int *)malloc(sizeof(int)*a);

  srand((unsigned)time(NULL));

  printf(""(1)\n"");
  for(int i=0; i<a; i++){
    num[i] = rand()%100;
    printf(""%d\n"",num[i]);
  }
  printf(""(2)\n"");
  for(int i=0; i<a; i++){
    another[i] = num[a-i-1];
    printf(""%d\n"",another[i]);
  }
  printf(""(3)\n"");
  for(int i=0; i<a; i++){
    if(num[i]%2==0){
      printf(""%d\n"",num[i]);
    }
  }
  free(num);   free(another);
  return 0;
}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void){
  int num;
  int **array;
  
  printf(""num = "");
  scanf(""%d"",&num);

  array = (int **)malloc(sizeof(int*)*num);
  for(int i=0; i <num; i++){
    array[i] = (int *)malloc(sizeof(int)*num);
  }
  srand((unsigned)time(NULL));
  
  printf(""(1)\n"");
  for(int i=0; i<num; i++){
    for(int j=0; j<num; j++){
      array[i][j] = rand()%10;
      printf(""%d "",array[i][j]);
    }
    printf(""\n"");
  }
  printf(""(2)\n"");
  int total = 0;
  for(int i=0; i<num; i++){
    total = total + array[i][i];
  }
  printf(""%d\n"",total);
  printf(""(3)\n"");
  int **save;
  save = (int **)malloc(sizeof(int*)*num);
  for(int i=0; i <num; i++){
    save[i] = (int *)malloc(sizeof(int)*num);
  }

  for(int i=0; i<num; i++){
    for(int j=0; j<num; j++){
      save[i][j]  = array[i][j];
    }
  }
  for(int i=0; i<num; i++){
    for(int j=0; j<num; j++){
      array[i][j] = save[j][i];
      printf(""%d "",array[i][j]);
    }
    printf(""\n"");
  }

  free(array);   free(save);
  return 0;
}
","#include <stdio.h>

int main(void){
  char str1[]="" Chiba"";
  char str2[]="" City"";

  char *str3;

  for(int i=0; i<9; i++){
    str3 = str1[i];
    if(i >=)
  }
  printf("""")
}
"
34,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(){
  
  int i,kazu=0;
  int *pt;
  
  srand((unsigned)time(NULL));
  
  printf(""num="");
  scanf(""%d"",&kazu);
  pt=(int *)malloc(sizeof(int)*kazu);

  printf(""(1)\n"");
  for(i=0;i<kazu;i++){
    pt[i]=rand()%100;
    printf(""%d\n"",pt[i]);
  }

  printf(""\n(2)\n"");
  for(i=0;i<kazu;i++){
    printf(""%d\n"",pt[kazu-i-1]);
  }

  printf(""\n(3)\n"");
  for(i=0;i<kazu;i++){
    if(pt[i]%2==0){
      printf(""%d\n"",pt[i]);
    }
  }
  printf(""\n"");
  
  free(pt);
}
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(){
  
  int i,j,kazu=0,sum=0;
  int **numberbox,**save;

  srand((unsigned)time(NULL));
  
  printf(""num="");
  scanf(""%d"",&kazu);
  numberbox=(int **)malloc(sizeof(int *)*kazu);
  for(i=0;i<kazu;i++){
    numberbox[i]=(int *)malloc(sizeof(int)*kazu);
  }
  
  printf(""(1)\n"");
  for(i=0;i<kazu;i++){
    for(j=0;j<kazu;j++){
      numberbox[i][j]=rand()%10;
      printf(""%d "",numberbox[i][j]);
    }
    printf(""\n"");
  }

  printf(""\n(2)\n"");
  for(i=0;i<kazu;i++){
    sum+=numberbox[i][i];
  }
  printf(""%d\n"",sum);

  printf(""\n(3)\n"");
  save=(int **)malloc(sizeof(int *)*kazu);
  for(i=0;i<kazu;i++){
    save[i]=(int *)malloc(sizeof(int)*kazu);
  }
  for(i=0;i<kazu;i++){
    for(j=0;j<kazu;j++){
      save[i][j]=numberbox[i][j];
    }
  }
  for(i=0;i<kazu;i++){
    for(j=0;j<kazu;j++){
      numberbox[i][j]=save[j][i];
      printf(""%d "",numberbox[i][j]);
    }
    printf(""\n"");
  }


  free(numberbox);
  free(save);
}
","#include <stdio.h>
#include <stdlib.h>

int main(){
  int i,mojisu_str1=0,mojisu_str2=0;
  char str1[]=""Kisarazu"";
  char str2[]=""City"";
  char *ketu;

  for(i=0;str1[i]!='\0';i++){
    mojisu_str1++;
  }
  for(i=0;str2[i]!='\0';i++){
    mojisu_str2++;
  }
  
  ketu=(char *)malloc(sizeof(char)*(mojisu_str1+mojisu_str2));
  for(i=0;i<mojisu_str1;i++){
    ketu[i]=str1[i];
  }
  for(i=mojisu_str1;i<mojisu_str1+mojisu_str2;i++){
    ketu[i]=str2[i-mojisu_str1];
  }
  printf(""%s\n"",ketu);
  
  free(ketu);
}
"
35,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void)
{
  int i,j,k;
  int *array;

  printf(""input number = "");
  scanf(""%d"",&k);
  
  array = (int *)malloc(sizeof(int)*k);

  srand((unsigned)time(NULL));

  printf(""(1)\n"");
  for(i=0; i<k; i++){
    array[i]=rand()%100;
    printf(""%d\n"",array[i]);
  }

  printf(""(3)\n"");
  for(i=0; i<k; i++){
    if(array[i]%2==0){
      printf(""%d\n"",array[i]);
    }
  }
  i--;
  
  printf(""(2)\n"");
  while(k>0){
    array[k] = array[i];
    printf(""%d\n"",array[k]);
    i--;
    k--;
    }


  return 0;


}

  
","#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main(void)
{
  int i,j,k;
  int **array[][];

  printf(""input number = "");
  scanf(""%d"",&k);
  
  array = (int **)malloc(sizeof(int *)*k);

  array[k] = (int *)malloc(sizeof(int *)*k);

  for(i=0; i<k; i+;){
    for(j=0; j<k; j+;){
      

  srand((unsigned)time(NULL));
",
